closetCleaner Report:
=====================

                     Name |      Count |             Location | Jobs Used                                                                                |                                                    Long Name
        Odyss. Chestplate |          0 |           Wardrobe 8 |                                                                                          |                                          odyssean chestplate
                Gere Ring |          0 |           Wardrobe 4 |                                                                                          |                                                    Gere ring
               Fotia Belt |          0 |           Wardrobe 5 |                                                                                          |                                                   fotia belt
        Sakonji Kabuto +3 |          0 |           Wardrobe 6 |                                                                                          |                                            sakonji kabuto +3
           Eminent Bullet |          0 |                 Sack |                                                                                          |                                               eminent bullet
            Niqmaddu Ring |          0 |           Wardrobe 5 |                                                                                          |                                                Niqmaddu ring
              Compensator |          0 |           Wardrobe 2 |                                                                                          |                                                  compensator
              Giuoco Grip |          0 |               Safe 2 |                                                                                          |                                                  giuoco grip
             Abdhaljs Sap |          0 |               Locker |                                                                                          |                                       bottle of Abdhaljs sap
           Taranus's Cape |          0 |           Wardrobe 6 |                                                                                          |                                               Taranus's cape
        Emicho Coronet +1 |          0 |                 Safe |                                                                                          |                                            emicho coronet +1
        Alchemist's Tools |          0 |                 Safe |                                                                                          |                                     set of alchemist's tools
            Profane Staff |          0 |            Inventory |                                                                                          |                                                profane staff
         Pumm. Cuisses +3 |          0 |             Wardrobe |                                                                                          |                                        pummeler's cuisses +3
            Count's Cuffs |          0 |               Safe 2 |                                                                                          |                                                count's cuffs
          Lustreless Hide |          0 |                 Sack |                                                                                          |                                              lustreless hide
          Assid. Pants +1 |          0 |           Wardrobe 7 |                                                                                          |                                           assiduity pants +1
        Ankusa Gaiters +3 |          0 |               Safe 2 |                                                                                          |                                            ankusa gaiters +3
              Vanya Slops |          0 |             Wardrobe |                                                                                          |                                                  vanya slops
        Adhemar Jacket +1 |          0 |           Wardrobe 6 |                                                                                          |                                            adhemar jacket +1
          Unyielding Ring |          0 |           Wardrobe 3 |                                                                                          |                                              unyielding ring
          Cab. Coronet +3 |          0 |           Wardrobe 4 |                                                                                          |                                       caballarius coronet +3
                  Paeapua |          0 |             Wardrobe |                                                                                          |                                                      Paeapua
        Skulker's Earring |          0 |           Safe, Case |                                                                                          |                                            skulker's earring
           Bhikku Earring |          0 |               Locker |                                                                                          |                                               bhikku earring
          Merlinic Jubbah |          0 |           Wardrobe 7 |                                                                                          |                                              merlinic jubbah
          Trump Card Case |          0 |               Locker |                                                                                          |                                              trump card case
       Fiendish Tome (30) |          0 |               Locker |                                                                                          |                                    Fiendish Tome: Chapter 30
            Luminary Sash |          0 |           Wardrobe 5 |                                                                                          |                                                luminary sash
         Chev. Cuisses +2 |          0 |           Wardrobe 7 |                                                                                          |                                       chevalier's cuisses +2
               Falcon Eye |          0 |              Satchel |                                                                                          |                                                   falcon eye
          Abdhaljs Nugget |          0 |               Locker |                                                                                          |                                              Abdhaljs nugget
           Herculean Vest |          0 | Sack, Safe 2, Safe 2, Wardrobe 2 |                                                                                          |                                               herculean vest
         Pixie Hairpin +1 |          0 |           Wardrobe 7 |                                                                                          |                                             pixie hairpin +1
          Wyrmking Masque |          0 |               Locker |                                                                                          |                                              wyrmking masque
                   Gyudon |          0 |            Inventory |                                                                                          |                                                       gyudon
               Vedic Coat |          0 |              Satchel |                                                                                          |                                                   vedic coat
         Hizamaru Kote +2 |          0 |           Wardrobe 3 |                                                                                          |                                             Hizamaru kote +2
            Skormoth Mask |          0 |              Satchel |                                                                                          |                                                skormoth mask
            Valorous Mask |          0 |      Inventory, Case |                                                                                          |                                                valorous mask
                 Thurible |          0 |               Safe 2 |                                                                                          |                                                     thurible
         Zwazo Earring +1 |          0 |                 Sack |                                                                                          |                                             zwazo earring +1
           Emicho Coronet |          0 |                 Safe |                                                                                          |                                               emicho coronet
        Rev. Gauntlets +3 |          0 |           Wardrobe 7 |                                                                                          |                                       reverence gauntlets +3
                  Ajax +1 |          0 |               Safe 2 |                                                                                          |                                                      Ajax +1
         Inyanga Tiara +2 |          0 |               Safe 2 |                                                                                          |                                             Inyanga tiara +2
            Flume Belt +1 |          0 |           Wardrobe 4 |                                                                                          |                                                flume belt +1
               Nyame Mail |          0 |             Wardrobe |                                                                                          |                                                   Nyame mail
         Malignance Boots |          0 |             Wardrobe |                                                                                          |                                             malignance boots
             Deacon Tabar |          0 |               Safe 2 |                                                                                          |                                                 deacon tabar
       Luhlaza Shalwar +3 |          0 |           Wardrobe 7 |                                                                                          |                                           luhlaza shalwar +3
              Zantetsuken |          0 |                 Sack |                                                                                          |                                                  Zantetsuken
               Pixquizpan |          0 |              Satchel |                                                                                          |                                                   pixquizpan
           Shomonjijoe +1 |          0 |               Locker |                                                                                          |                                               shomonjijoe +1
             Ikenga's Hat |          0 |           Wardrobe 8 |                                                                                          |                                                 Ikenga's hat
       Hiza. Hizayoroi +2 |          0 |           Wardrobe 8 |                                                                                          |                                        Hizamaru hizayoroi +2
                 Emissary |          0 |                 Safe |                                                                                          |                                                     emissary
         Dashing Subligar |          0 |            Inventory |                                                                                          |                                             dashing subligar
        Aya. Manopolas +2 |          0 |           Wardrobe 8 |                                                                                          |                                          ayanmo manopolas +2
       Craftkeeper's Ring |          0 |             Wardrobe |                                                                                          |                                           craftkeeper's ring
        Peltast's Earring |          0 | Inventory, Locker, Case |                                                                                          |                                            peltast's earring
         Engulfer Cape +1 |          0 |           Wardrobe 6 |                                                                                          |                                             engulfer cape +1
           Speaker's Ring |          0 |                 Sack |                                                                                          |                                               speaker's ring
        Brachyura Earring |          0 |           Wardrobe 4 |                                                                                          |                                            brachyura earring
             Ilabrat Ring |          0 |           Wardrobe 4 |                                                                                          |                                                 Ilabrat ring
             Beithir Ring |          0 |           Wardrobe 4 |                                                                                          |                                                 Beithir ring
           Yorium Barbuta |          0 |                 Safe |                                                                                          |                                               yorium barbuta
        Vedrfolnir's Wing |          0 |                 Sack |                                                                                          |                                            Vedrfolnir's wing
          Camahueto's Fur |          0 |              Satchel |                                                                                          |                                      tuft of Camahueto's fur
             Rao Sune-Ate |          0 |               Safe 2 |                                                                                          |                                                 rao sune-ate
        Hashishin Tayt +1 |          0 |             Wardrobe |                                                                                          |                                            hashishin tayt +1
              Ea Pigaches |          0 |           Wardrobe 6 |                                                                                          |                                                  Ea pigaches
               Zanmato +1 |          0 |              Satchel |                                                                                          |                                                   Zanmato +1
           Augury Cuisses |          0 |               Safe 2 |                                                                                          |                                               augury cuisses
        Eschite Gauntlets |          0 |                 Safe |                                                                                          |                                            eschite gauntlets
          Shulmanu Collar |          0 |           Wardrobe 4 |                                                                                          |                                              Shulmanu collar
          Sucellos's Cape |          0 |           Wardrobe 6 |                                                                                          |                                              Sucellos's cape
           Ayapec's Shell |          0 |              Satchel |                                                                                          |                                               Ayapec's shell
               Freke Ring |          0 |           Wardrobe 5 |                                                                                          |                                                   Freke ring
          Beryllium Arrow |          0 |            Inventory |                                                                                          |                                              beryllium arrow
            Thr. Tomahawk |          0 |      Inventory, Case |                                                                                          |                                            throwing tomahawk
        Merlinic Crackows |          0 |           Wardrobe 7 |                                                                                          |                                            merlinic crackows
         Herculean Gloves |          0 | Satchel, Wardrobe, Wardrobe 3, Wardrobe 7 |                                                                                          |                                             herculean gloves
                    Lathi |          0 |           Wardrobe 2 |                                                                                          |                                                        lathi
       Windbuffet Belt +1 |          0 |           Wardrobe 7 |                                                                                          |                                           windbuffet belt +1
           Mhuufya's Beak |          0 |     Satchel, Satchel |                                                                                          |                                               Mhuufya's beak
                Linkshell |          0 |              Satchel |                                                                                          |                                                    linkshell
           C. Palug Stone |          0 |           Wardrobe 5 |                                                                                          |                                             Cath Palug stone
       Vitiation Boots +1 |          0 |                 Sack |                                                                                          |                                           vitiation boots +1
          Automat. Oil +3 |          0 |                 Case |                                                                                          |                                      can of automaton oil +3
              Bunzi's Rod |          0 |           Wardrobe 2 |                                                                                          |                                                  Bunzi's rod
              Apeile Ring |          0 |           Wardrobe 4 |                                                                                          |                                                  apeile ring
             Baayami Robe |          0 |           Wardrobe 6 |                                                                                          |                                                 Baayami robe
        Ra'Kaz. Starstone |          0 |                 Case |                                                                                          |                                          Ra'Kaznar starstone
         Founder's Corona |          0 |           Wardrobe 8 |                                                                                          |                                             founder's corona
             Haoma's Ring |          0 | Wardrobe 3, Wardrobe 4 |                                                                                          |                                                 Haoma's ring
           Abdhaljs Anima |          0 |               Locker |                                                                                          |                                               Abdhaljs anima
        Arcadian Socks +3 |          0 |           Wardrobe 5 |                                                                                          |                                            arcadian socks +3
                Ark Tabar |          0 |              Satchel |                                                                                          |                                                    ark tabar
       Plun. Poulaines +2 |          0 |           Wardrobe 2 |                                                                                          |                                     plunderer's poulaines +2
           Herculean Helm |          0 | Safe 2, Wardrobe 2, Wardrobe 7, Wardrobe 8 |                                                                                          |                                               herculean helm
         Viti. Chapeau +1 |          0 |                 Sack |                                                                                          |                                         vitiation chapeau +1
            Vengeful Ring |          0 |           Wardrobe 4 |                                                                                          |                                                vengeful ring
            Twilight Helm |          0 |           Wardrobe 8 |                                                                                          |                                                Twilight helm
       Elite Royal Collar |          0 |               Locker |                                                                                          |                                           elite royal collar
           Lanun Gants +3 |          0 |                 Safe |                                                                                          |                                               lanun gants +3
        Jhakri Coronal +2 |          0 |           Wardrobe 8 |                                                                                          |                                            jhakri coronal +2
               Trump Card |          0 |         Safe, Safe 2 |                                                                                          |                                                   trump card
      Nourish. Earring +1 |          0 |           Wardrobe 4 |                                                                                          |                                        nourishing earring +1
             Apogee Pumps |          0 |                 Safe |                                                                                          |                                                 apogee pumps
         Argocham. Mantle |          0 |           Wardrobe 8 |                                                                                          |                                           argochampsa mantle
         Emicho Gauntlets |          0 |                 Safe |                                                                                          |                                             emicho gauntlets
               Vanya Robe |          0 |           Wardrobe 8 |                                                                                          |                                                   vanya robe
          Ratri Sollerets |          0 |                 Case |                                                                                          |                                              Ratri sollerets
       Sulev. Leggings +2 |          0 |           Wardrobe 3 |                                                                                          |                                        Sulevia's leggings +2
              Knobkierrie |          0 |             Wardrobe |                                                                                          |                                                  knobkierrie
       Inyanga Shalwar +2 |          0 |           Wardrobe 7 |                                                                                          |                                           Inyanga shalwar +2
             Gleti's Mask |          0 |            Inventory |                                                                                          |                                                 Gleti's mask
              Lugh's Cape |          0 |           Wardrobe 6 |                                                                                          |                                                  Lugh's cape
           Mpaca's Gloves |          0 |           Wardrobe 3 |                                                                                          |                                               Mpaca's gloves
         Tali'ah Gages +2 |          0 |           Wardrobe 8 |                                                                                          |                                             tali'ah gages +2
           Subtlety Spec. |          0 |           Wardrobe 4 |                                                                                          |                                          subtlety spectacles
               Locus Ring |          0 |             Wardrobe |                                                                                          |                                                   locus ring
         Amini Earring +1 |          0 |                 Sack |                                                                                          |                                             amini earring +1
              Queller Rod |          0 |           Wardrobe 2 |                                                                                          |                                                  queller rod
       Battlecast Gaiters |          0 |                 Case |                                                                                          |                                           battlecast gaiters
          Boii Cuisses +1 |          0 |               Safe 2 |                                                                                          |                                              boii cuisses +1
          Pursuer's Pants |          0 |                 Safe |                                                                                          |                                              pursuer's pants
           Danzo Sune-Ate |          0 |           Wardrobe 8 |                                                                                          |                                               danzo sune-ate
                 Beitetsu |          0 |           Safe, Sack |                                                                                          |                                            chunk of beitetsu
         Valorous Greaves |          0 |     Sack, Wardrobe 3 |                                                                                          |                                             valorous greaves
             Assim. Bazu. |          0 |               Locker |                                                                                          |                                      assimilator's bazubands
         C. Palug Earring |          0 |           Wardrobe 4 |                                                                                          |                                           Cath Palug earring
          Chironic Gloves |          0 |             Wardrobe |                                                                                          |                                              chironic gloves
              Tant. Broth |          0 |               Locker |                                                                                          |                                     jug of tantalizing broth
           Lugra Cloak +1 |          0 |                 Case |                                                                                          |                                               lugra cloak +1
            Adhemar Kecks |          0 |            Inventory |                                                                                          |                                                adhemar kecks
             Voluspa Grip |          0 |                 Safe |                                                                                          |                                                 Voluspa grip
            Ebers Earring |          0 |               Safe 2 |                                                                                          |                                                ebers earring
              Sibyl Scarf |          0 |            Inventory |                                                                                          |                                                  Sibyl scarf
         Odyssean Greaves |          0 |           Wardrobe 7 |                                                                                          |                                             odyssean greaves
                  Nandaka |          0 |           Wardrobe 2 |                                                                                          |                                                      Nandaka
                    Dunna |          0 |           Wardrobe 4 |                                                                                          |                                                        Dunna
          Jokushu Haidate |          0 |           Wardrobe 8 |                                                                                          |                                              jokushu haidate
                  Antacid |          0 |      Inventory, Sack |                                                                                          |                                            bottle of antacid
           Per. Lucky Egg |          0 |           Wardrobe 5 |                                                                                          |                                            perfect lucky egg
           Asklepian Belt |          0 |           Wardrobe 4 |                                                                                          |                                               asklepian belt
        Fili Cothurnes +1 |          0 |           Wardrobe 7 |                                                                                          |                                            fili cothurnes +1
             Grenade Core |          0 |               Locker |                                                                                          |                                                 grenade core
          Rumination Sash |          0 |               Locker |                                                                                          |                                              rumination sash
           Orpheus's Sash |          0 |             Wardrobe |                                                                                          |                                               Orpheus's sash
                    Linos |          0 |               Safe 2 |                                                                                          |                                                        Linos
              Steel Ingot |          0 |              Satchel |                                                                                          |                                                  steel ingot
        Skulk. Earring +1 |          0 |            Inventory |                                                                                          |                                         skulker's earring +1
         Penetrating Cape |          0 |                 Safe |                                                                                          |                                             penetrating cape
          Thurandaut Ring |          0 |             Wardrobe |                                                                                          |                                              Thurandaut ring
       Meghanada Visor +2 |          0 |           Wardrobe 6 |                                                                                          |                                           meghanada visor +2
             Fire Cluster |          0 |                 Sack |                                                                                          |                                                 fire cluster
            Nibiru Sainti |          0 |           Wardrobe 4 |                                                                                          |                                                nibiru sainti
            Lanun Frac +3 |          0 |             Wardrobe |                                                                                          |                                                lanun frac +3
         Lustreless Scale |          0 |              Satchel |                                                                                          |                                             lustreless scale
             Fucho-no-Obi |          0 |             Wardrobe |                                                                                          |                                                 fucho-no-obi
         Cessance Earring |          0 |           Wardrobe 3 |                                                                                          |                                             cessance earring
         Nourish. Earring |          0 |            Inventory |                                                                                          |                                           nourishing earring
                   Ginsen |          0 |           Wardrobe 4 |                                                                                          |                                                       Ginsen
           Sanare Earring |          0 |            Inventory |                                                                                          |                                               sanare earring
                  Astolfo |          0 |               Safe 2 |                                                                                          |                                                      Astolfo
             Carmine Mask |          0 |           Wardrobe 7 |                                                                                          |                                                 carmine mask
               Uac Jerkin |          0 |                 Case |                                                                                          |                                                   uac jerkin
                Izizoeksi |          0 |                 Safe |                                                                                          |                                                    Izizoeksi
            Ratri Cuisses |          0 |           Wardrobe 8 |                                                                                          |                                                Ratri cuisses
         Vidmapire's Claw |          0 |                 Sack |                                                                                          |                                             Vidmapire's claw
              Shining One |          0 |           Wardrobe 2 |                                                                                          |                                                  Shining One
           Abdhaljs Fiber |          0 |               Locker |                                                                                          |                                       loop of Abdhaljs fiber
        Sulev. Cuisses +2 |          0 |           Wardrobe 3 |                                                                                          |                                         Sulevia's cuisses +2
          Ikenga's Gloves |          0 |           Wardrobe 8 |                                                                                          |                                              Ikenga's gloves
        Ternion Dagger +1 |          0 |           Wardrobe 2 |                                                                                          |                                            ternion dagger +1
       Inyan. Dastanas +2 |          0 |           Wardrobe 8 |                                                                                          |                                          Inyanga dastanas +2
           Befouled Crown |          0 |           Wardrobe 6 |                                                                                          |                                               befouled crown
         Mallquis Saio +2 |          0 |           Wardrobe 6 |                                                                                          |                                             mallquis saio +2
               Firetongue |          0 |     Satchel, Satchel |                                                                                          |                                                   firetongue
        Domin. Earring +1 |          0 |                 Sack |                                                                                          |                                         dominance earring +1
          Mephitas's Ring |          0 |           Wardrobe 5 |                                                                                          |                                              Mephitas's ring
          Chirich Ring +1 |          0 | Wardrobe 4, Wardrobe 4 |                                                                                          |                                              chirich ring +1
          Stikini Ring +1 |          0 | Wardrobe, Wardrobe 5 |                                                                                          |                                              stikini ring +1
             Seiryu Scrap |          0 |              Satchel |                                                                                          |                                         seal of Seiryu scrap
                 Solstice |          0 |           Wardrobe 2 |                                                                                          |                                                     solstice
         Kasuga Domaru +2 |          0 |             Wardrobe |                                                                                          |                                             kasuga domaru +2
              Pinga Tunic |          0 |           Wardrobe 8 |                                                                                          |                                                  Pinga tunic
           Orthrus's Claw |          0 |               Locker |                                                                                          |                                               Orthrus's claw
              Genbu Scrap |          0 |              Satchel |                                                                                          |                                          seal of Genbu scrap
          Nyame Sollerets |          0 |             Wardrobe |                                                                                          |                                              Nyame sollerets
      Sakpata's Gauntlets |          0 |           Wardrobe 6 |                                                                                          |                                          Sakpata's gauntlets
          Bleating Mantle |          0 |           Wardrobe 6 |                                                                                          |                                              bleating mantle
         Yorium Gauntlets |          0 |                 Safe |                                                                                          |                                             yorium gauntlets
       Malignance Earring |          0 |           Wardrobe 4 |                                                                                          |                                           malignance earring
        Pemphredo Tathlum |          0 |             Wardrobe |                                                                                          |                                            pemphredo tathlum
                Espiritus |          0 |           Wardrobe 2 |                                                                                          |                                                    espiritus
            Oshosi Gloves |          0 |           Wardrobe 8 |                                                                                          |                                                Oshosi gloves
              Vanya Clogs |          0 |             Wardrobe |                                                                                          |                                                  vanya clogs
            Chas. Earring |          0 |                 Safe |                                                                                          |                                           chasseur's earring
        Debilis Medallion |          0 |           Wardrobe 7 |                                                                                          |                                            debilis medallion
           Bunzi's Sabots |          0 |           Wardrobe 6 |                                                                                          |                                               Bunzi's sabots
            Gelai Earring |          0 |              Satchel |                                                                                          |                                                gelai earring
         Adhemar Kecks +1 |          0 |           Wardrobe 8 |                                                                                          |                                             adhemar kecks +1
          Hervor Mouffles |          0 |                 Safe |                                                                                          |                                              Hervor mouffles
         Centurio's Armor |          0 |     Satchel, Satchel |                                                                                          |                                suit of Centurio XX-I's armor
          Katipo Charm +1 |          0 |           Wardrobe 5 |                                                                                          |                                              katipo charm +1
